address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,premiumActivationDate,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирская область, Бердск, улица Попова, 11/2",147340687,Наталья Сергеевна,Resale,3279,2020-04-26T00:19:36.851332Z,"Современная квартира с мебелью, техникой и ремонтом. Три отдельные комнаты с дизайнерским ремонтом. Просторная встроенная  кухня с продолжением тёплой лоджии. Расположение на берегу обского моря с видом на залив и мост, что позволяет спокойно отдыхать. Детский сад и школа в шаговой доступности. Продуктовый магазин в доме, супермаркет, в двух остановках от дома. Прекрасные соседи, чистые подъезды, уютный двор с уличным тркнажероми с баскетбольной площадкой и детскими локациями.",98 м²,,,,,,5/10,98 м²,98.0,5,23,2512807958,Sale,/3-komnatnaya-kvartira-na-prodazhu-berdsk-2512807958,,2020-11-28T18:46:06.949473+03:00,6 700 000 ₽,68 367 ₽ за м²,68367,6700000,Apartment,2020-04-26T00:19:36.851332Z,78,Listing,3,3.0,2020-12-28T18:37:25.50714+03:00,1901888739,2020-04-25T17:24:52.607019+03:00,2020-11-28T18:37:25.50714+03:00,,,,,"3-комн. квартира, 98 м², 5/10 эт.",2020-11-28T15:46:29.046163Z
"Новосибирск, Ленинский район, микрорайон Горский, 67",63299747,"ООО ""Новосибирск Недвижимость""",Resale,3285,2020-09-28T07:34:50.072731Z,"В продаже замечательная, просторная, светлая, теплая, уютная трехкомнатная квартира в тихом уютном месте в одном из лучших домов на Горском ж/м . <br>Большие окна, квадратные комнаты, потолки 2,85 м, 2 просторных раздельных с/у. В коридоре сделана встроенная вместительная гардеробная, дорогая входная дверь как в сбербанке)<br>В этом доме всего 5 квартир с такой планировкой, 2 остекленные лоджии общиты и покрыты лаком, одна лоджия утеплена, запах натурального дерева пьянит и успокаивает,  на полу ламинат, с/у кафель. <br>На первом этаже подъезда располагается консьерж, круглосуточно. Отличные соседи. <br> Жилмассив с очень развитой инфраструктурой.<br>Из окна виден новый детский сад, новая 212 школа, частные детские сады, также несколько школ на выбор. Детские площадки игровые. Детские центры. Парикмахерские. Салоны Красоты. Стоматология. магазины Быстроном, Мария-ра, Лента, Горожанка, Сбербанк, свое мини государство)<br>1 взрослый собственник, документы проверены юристом и готовы к молниеносной сделке.<br>Подходит под военную ипотеку, семейную ипотеку, всех банков Новосибирска, помогаю получить бесплатно ипотечное решение, наличный расчет<br>Во дворе дома подземная парковка, за домом детская площадка, рядом с домом спорт-площадка с тренажерами, площадка для выгула собак, недалеко от дома замечательный зеленый парк с фонтаном, детскими площадками и катком.<br> <br>Отличная транспортная развязка, станция метро Студенческая в шаговой доступности. <br>Очень срочная продажа связанная с переездом в другой город.<br>С агентами по недвижимости готова поделиться комиссией. Звоните показ в любое время.",80 м²,,,,,654.0,2/17,80 м²,80.0,2,30,2893690749,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2893690749,266.0,2020-11-29T05:22:29.576577Z,5 100 000 ₽,63 750 ₽ за м²,63750,5100000,Apartment,2020-09-28T07:34:50.072731Z,78,Listing,3,3.0,2020-12-27T12:31:31.712391+03:00,1985177893,2020-09-28T10:25:23.772635+03:00,2020-11-28T14:29:02.145527+03:00,1.157,266.0,#FF0000,Студенческая,"3-комн. квартира, 80 м², 2/17 эт.",2020-11-29T05:22:29.576577Z
"Новосибирск, Коммунистическая улица, 34",30572226,Вадим,Resale,3285,2019-11-03T01:09:42.541635Z,"ЖК “RICH HOUS” жилой дом класса "" De Luхe»<br>В квартире сделан дизайнерский ремонт. <br>Квартира в аренде 100т.р<br>Напольная плитка фирмы VERSACE. Кухня ASTER Италия. Диван фирмы BEDDING,  выполнен итальянской фирмой по индивидуальному заказу. <br>Стол в гостиной и журнальный столик, выполнен из муранского стекла фабрики CATTELAN.<br>Сантехника HIDRA Италия. Техника BOSCH ( немецкого исполнения).<br>Функциональное освещение выполнено люстрами BAGA и CATTELAN  Италия. Домашний кинотеатр представлен премиальным телевизором <br>Samsung QLED 82 дюйма.<br> Панорамные окна выходят на южную сторону в тихий двор. <br>Планировка квартиры сделана таким образом, что в ней полностью отсутствуют коридоры , что позволяет максимально задействовать все пространство. В квартире большая спальня, гостиная и кухня. Просторная гардеробная примыкает прямо к спальне.<br>Кондиционирование, пол с подогревом.<br>Дом имеет две входные группы, интерьер выполнен из изысканных отделочных материалов, стены и пол выложены гранитом. <br>В отделке фасада широко используется немецкая керамическая пустотная плитка Аlрhаtоn Моеding, панорамное остекление выполнено по системе фирмы Sсhuсо. Трехэтажный подземный паркинг. ""Умный дом"": центральная система кондиционирования . Системы водоснабжения и отопления разведены медными трубами. Большие «французкие» окна с алюминиевым профилем и двухкамерным стеклопакетом по системе фирмы Sсhuсо.<br>Квартира расположена в самом центре города, рядом находится мэрия и филармония имени А.М. Каца. ( 200 метров).<br>Mнoгоквapтиpный жилой дoм класса De Luхe с оxрaняeмой придомoвoй тeppиторией, физкультурно-оздoровительным центрoм, библиoтекой, кaфе-баpoм и пoдзeмной автоcтoянкoй. Дoм paсполoжен в ""Тиxoм центpe"" на улице Kоммуниcтичeская, 34, в близи от музея Н.К. Pериха, напpотив здания админиcтрaции Центрального района, в центре города Новосибирска.",90 м²,,,,,649.0,5/10,90 м²,90.0,5,16,1973586684,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-1973586684,263.0,2020-11-29T23:04:35.329728+03:00,18 000 000 ₽,200 000 ₽ за м²,200000,18000000,Apartment,2019-11-03T01:09:42.541635Z,78,Listing,3,3.0,2020-12-29T22:55:57.89411+03:00,1824521294,2019-11-02T17:19:42.175713+03:00,2020-11-29T22:55:57.89411+03:00,0.814,263.0,#FF0000,Площадь Ленина,"3-комн. квартира, 90 м², 5/10 эт.",2020-11-29T20:05:04.305566Z
"Новосибирск, улица Серафимовича, 14",63299747,"ООО ""Новосибирск Недвижимость""",Resale,3285,2020-10-13T11:29:35.456508Z,"В продаже квартира с удобным месторасположением, ст. метро  К.Маркса в пятиминутной доступости от дома. Идеально подходит для сдачи в аренду, либо  для личного проживания.<br>Квартира в хорошем состоянии, вложений в ремонт особо не требует. Только если обои обновить по своему вкусу. Возможна продажа с мебелью.<br>Комфортный средний этаж, в доме лифт.  Есть балкон, застеклен и обшит. В квартире всегда светло, окна выходят в тихий двор.<br>Продажа без особенностей в документах, готовы к быстрому оформлению сделки.  Подходит под любой расчёт. Один собственник, владеет квартирой давно. Долгов, обременений банка нет. <br>Покажем по предварительной договоренности.",28 м²,,,,,654.0,6/9,28 м²,28.0,6,11,2926676464,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2926676464,267.0,2020-11-30T10:53:09.341393+03:00,2 490 000 ₽,88 929 ₽ за м²,88929,2490000,Apartment,2020-10-13T11:29:35.456508Z,78,Listing,1,1.0,2020-12-12T15:27:12.744257+03:00,2017176250,2020-10-13T14:20:08.556908+03:00,2020-12-07T07:22:11.414137+03:00,0.907,267.0,#FF0000,Площадь Маркса,"1-комн. квартира, 28 м², 6/9 эт.",2020-12-07T04:32:39.035753Z
"Новосибирская область, Татарск, улица Закриевского, 89, подъезд 1",171500854,лена,Resale,3281,2020-08-15T03:50:04.750439Z,"Домофон,окна пвх, дверь металлическая, без ремонта, туалет совмещённый,счетчики по воде до 2026года,рядом газовая котельная, перебоев с водой нет, магазины «Пятёрочка»,»Низкоцен»,»Эконом», Сбербанк, вокзал,лицей,педколледж, кафешки, баня.",39.5 м²,,,,,,3/3,39.5 м²,39.5,3,9,2789851418,Sale,/2-komnatnaya-kvartira-na-prodazhu-tatarsk-2789851418,,2020-11-30T18:07:51.322376+03:00,1 500 000 ₽,37 975 ₽ за м²,37975,1500000,Apartment,2020-08-15T03:50:04.750439Z,78,Listing,2,2.0,2020-12-14T13:36:38.746026+03:00,1972266346,2020-08-15T06:40:30.433875+03:00,2020-12-06T06:04:35.399338+03:00,,,,,"2-комн. квартира, 39.5 м², 3/3 эт.",2020-12-06T03:13:59.897153Z
"Новосибирск, Первомайский район",20580840,Пользователь,Resale,3285,2019-02-06T09:31:04.769Z,"Евроремонт . Ламинат . Натяжные потолки. Входная дверь Россия. В ванной кафель, натяжной потолок, сантехника.<br>Чистая продажа. <br>Срочно.<br>Собственник.",23 м²,,,,,657.0,5/17,23 м²,23.0,5,8,260598611,Sale,/kvartira-na-prodazhu-novosibirsk-260598611,,2020-12-01T06:37:04.345067+03:00,1 400 000 ₽,60 870 ₽ за м²,60870,1400000,Apartment,2019-02-06T09:31:04.769Z,78,Listing,Студия,,2020-12-31T06:28:25.835206+03:00,1188898811,2018-12-06T05:06:46.661909+03:00,2020-12-01T07:34:45.377069+03:00,,,,,"Квартира-студия, 23 м², 5/17 эт.",2020-12-01T04:44:12.609422Z
"Новосибирск, Бронная улица, 39/1",147244801,Отдел Продаж Недвижимости,New,3285,2020-05-04T02:49:55.941075Z,"Срочно! Цена снижена!<br>Продам полноценную двухкомнатную квартиру. Высокий первый этаж. Выполнен свежий ремонт под ключ.. Удобное расположение дома в самом центре жилмассива, между двумя конечными остановками, рядом все необходимые магазины, детский садик, школа. Просмотр в любое удобное время по предварительному звонку.",64 м²,,,,,655.0,1/10,64 м²,64.0,1,8,2534282236,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2534282236,,2020-12-01T07:54:19.962933+03:00,2 600 000 ₽,40 625 ₽ за м²,40625,2600000,Apartment,2020-05-04T02:49:55.941075Z,78,Listing,2,2.0,2020-12-31T07:46:03.084667+03:00,1919285439,2020-05-03T08:45:37.61298+03:00,2020-12-01T07:55:49.611829+03:00,,,,,"2-комн. квартира, 64 м², 1/10 эт.",2020-12-01T05:05:11.226465Z
"Новосибирская область, Искитим, Советская улица, 287",35403314,Вадим,Resale,3252,2020-11-29T07:15:51.526367Z,"Молодая семья, продаст однокомнатную квартиру. Практически центр города, развитая инфраструктура. <br>В пешей доступности магазины,  школа, <br>детские сады, <br>большая парковка, грузопассажирский лифт, <br>видео фиксация за парковкой и детской площадкой.<br>Лоджия 6 к.в<br>По всей площади квартиры натянуты потолки<br>Чугунная ванная <br>Входная дверь с хорошей шумоизоляцией<br>Тёплый и прекрасный дом с доброжелательными соседями<br>Мебель остаётся",36 м²,,,,,,6/9,36 м²,36.0,6,11,3039741695,Sale,/1-komnatnaya-kvartira-na-prodazhu-iskitim-3039741695,,2020-12-01T09:38:28.014844+03:00,2 250 000 ₽,62 500 ₽ за м²,62500,2250000,Apartment,2020-11-29T07:15:51.526367Z,78,Listing,1,1.0,2020-12-29T10:06:49.243251+03:00,2032861667,2020-11-29T10:06:28.125943+03:00,2020-12-07T18:23:33.47285+03:00,,,,,"1-комн. квартира, 36 м², 6/9 эт.",2020-12-07T15:32:58.055152Z
"Новосибирская область, Куйбышев, 10-й квартал, 2",6301826,Дмитрий,Resale,3253,2020-09-30T14:00:24.113078Z,"Продам 2-х комнатную квартиру, свежий ремонт из качественных материалов(обои коллекция ""Шервудский лес"", межкомнатные двери дуб Глостер и т.д.)<br>Окна и балкон пластик .<br> На полу ламинат, натяжной потолок. В доме есть как газ, так и выведена электроплита. <br> Квартира очень теплая.<br> Центр города, вся инфраструктура рядом. Разумный торг реальному покупателю.<br>Или меняю на 1-ую  с доплатой<br>В связи с переездом в Новосибирск",42 м²,,,,,,5/5,42 м²,42.0,5,12,2899244769,Sale,/2-komnatnaya-kvartira-na-prodazhu-kuybyshev-2899244769,,2020-12-01T12:03:37.978748+03:00,1 850 000 ₽,44 048 ₽ за м²,44048,1850000,Apartment,2020-09-30T14:00:24.113078Z,78,Listing,2,2.0,2020-12-30T12:31:58.464167+03:00,1984524800,2020-09-30T16:50:41.13267+03:00,2020-12-08T19:46:40.178235+03:00,,,,,"2-комн. квартира, 42 м², 5/5 эт.",2020-12-08T16:56:07.402117Z
"Новосибирская область, Бердск, Ключевая улица, 59/1",32229857,Отдел продаж,Resale,3279,2020-11-01T12:32:03.266101Z,"Предлагается к продаже отличная Квартира. Дом сдан.Белокаменный это быстро развивающейся район. Есть своя котельня. Поэтому жители данного района не зависят от городских плановых отключений воды. Много магазинов, салонов красоты. автобусы ходят каждые 7-8 минут. Цена квартиры за быстрый наличный расчёт.В отделе продаж Вы можете найти для себя еще много интересных вариантов. Купите сейчас???!!!! Или подождете когда поднимутся цены???!!! А так же наши специалисты помогут продать ваше вторичное жилье<br>Все лучшие предложения под Ваш запрос смотрите внизу объявления,нажав название нашей компании АН Кристалл .",57 м²,,,,,,7/9,57 м²,57.0,7,29,2974637478,Sale,/2-komnatnaya-kvartira-na-prodazhu-berdsk-2974637478,,2020-12-01T15:55:11.039847+03:00,2 950 000 ₽,51 754 ₽ за м²,51754,2950000,Apartment,2020-11-01T12:32:03.266101Z,78,Listing,2,2.0,2020-12-31T15:46:29.947922+03:00,2015061898,2020-11-01T15:22:52.305067+03:00,2020-12-08T08:28:50.729971+03:00,,,,,"2-комн. квартира, 57 м², 7/9 эт.",2020-12-08T05:38:32.895302Z
"Новосибирск, Родниковая улица, 27/7",314865,частное лицо,New,3285,2020-12-03T05:10:08.385198Z,"Продам квартиру в новостройке,Октябрьский район.Котеджный поселок Красная горка.Дом на стадии строительства (70%).Прекрасное тихое место,не далеко от Бугригского моста.<br>Рассмотрю рассрочку без переплаты,обмен.По интересующим вопросам звоните,всё расскажу.<br>Собственник.НЕ АГЕНТСТВО.Точный адрес 1-я Родниковая 24/7( на карте пока не показывает)",65 м²,,,,,650.0,3/4,65 м²,65.0,3,9,3048901113,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3048901113,,2020-12-03T08:10:08.387072+03:00,2 500 000 ₽,38 462 ₽ за м²,38462,2500000,Apartment,2020-12-03T05:10:08.385198Z,78,Listing,2,2.0,2021-01-02T08:03:47.942968+03:00,2030938649,2020-12-03T08:03:13.955972+03:00,2020-12-03T08:11:00.774352+03:00,,,,,"2-комн. квартира, 65 м², 3/4 эт.",2020-12-03T05:16:18.002805Z
"Новосибирская область, Бердск, улица Попова, 35А",129887335,"АН ""ГородОК""",Resale,3279,2020-08-07T04:44:07.267539Z,Квартира в хорошем состоянии в зелёной зоне Бердска. Рядом пляж. Остановка. Магазины. Дом 2004 года постройки. Подходит под все виды расчёта. 1 собственник. Срочно. Торг.,47 м²,,,,,,2/2,47 м²,47.0,2,8,2770279178,Sale,/1-komnatnaya-kvartira-na-prodazhu-berdsk-2770279178,,2020-12-03T09:52:48.466292+03:00,1 850 000 ₽,39 362 ₽ за м²,39362,1850000,Apartment,2020-08-07T04:44:07.267539Z,78,Listing,1,1.0,2020-12-12T13:57:19.586196+03:00,1957629490,2020-08-07T07:34:31.89936+03:00,2020-12-07T11:24:49.917178+03:00,,,,,"1-комн. квартира, 47 м², 2/2 эт.",2020-12-07T08:34:58.318156Z
