address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,roadId,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, Гусинобродское шоссе, 29",6463902,Александр,Resale,3285,2020-10-27T14:38:37.530754Z,"Продам однокомнатную квартиру с отличным расположением и хорошим ремонтом!!! Остановка,Сбербанк,Лента,Ярче, ТЦ Дружба и многое другое в ста метрах от подъезда! Собственник, агенства прошу не беспокоить!!!",29 м²,,,,,651.0,5/9,29 м²,29.0,5,4,2961642485,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2961642485,272.0,2 880 000 ₽,99 310 ₽ за м²,99310,2880000,Apartment,2020-10-27T14:38:37.530754Z,78,Listing,,1,1.0,2020-12-26T17:28:38.047414+03:00,2044526202,2020-10-27T17:26:28.253379+03:00,2020-11-26T17:28:38.047414+03:00,2.344,272.0,#008000,Золотая Нива,"1-комн. квартира, 29 м², 5/9 эт.",2020-11-26T14:37:42.622369Z
"Новосибирская область, Новосибирский район, рабочий посёлок Краснообск, 2-й микрорайон",50482420,OTLICHNO,Resale,3287,2019-03-23T13:19:01.369406Z,Уютная 2-х комнатная квартира..<br>2 гардеробные комнаты..<br>Встроенная мебель.. кухня.. плита.. духовой шкаф..<br>Ванна чугун..<br>Закрытая территория.. въезд чз шлакбаум..<br>В доме: частный детский садик.. стоматология.. цветочный магазин.. салон красоты..<br>Во дворе: детская площадка.. турники.. теннисный стол.. волейбольная.. баскетбольная площадки.. футбольное поле.. каток.. новый дет-сад<br>Рядом: торговые центры.. аптеки.. Мария ра.. Днс.. школы.. дет- сады.. микрорынок.. спортивный комплекс Армада с бассейном..<br>В шаговой доступности конечная остановка..<br>Документы: 1 собственник.. детей нет.. собственность более 5 лет.. залогов.. арестов нет.. возможна продажа в ипотеку.. обмен с вашей доплатой.. <br>Квартира в аренду не сдавалась..,70 м²,,,,,,11/12,70 м²,70.0,11,12,1166282823,Sale,/2-komnatnaya-kvartira-na-prodazhu-krasnoobsk-1166282823,,5 100 000 ₽,72 857 ₽ за м²,72857,5100000,Apartment,2019-03-23T13:19:01.369406Z,78,Listing,,2,2.0,2020-12-23T23:46:21.433253+03:00,980161412,2017-05-04T11:37:20+03:00,2020-11-26T08:20:22.967819+03:00,,,,,"2-комн. квартира, 70 м², 11/12 эт.",2020-11-26T07:04:13.477749Z
"Новосибирская область, Барабинск, Пролетарская улица, 144",48429876,Евгения,Resale,3266,2020-06-22T08:20:16.686137Z,"Квартира светлая, тёплая...Большая лоджия 6 м! Тихий спокойный район, есть детская площадка! В подвале ячейка для хранения овощей! Чистый подъезд! Соседи спокойные!",62 м²,,,,,,3/3,62 м²,62.0,3,3,2659576658,Sale,/3-komnatnaya-kvartira-na-prodazhu-barabinsk-2659576658,,2 000 000 ₽,32 258 ₽ за м²,32258,2000000,Apartment,2020-06-22T08:20:16.686137Z,78,Listing,,3,3.0,2020-12-29T12:26:52.42444+03:00,1938394692,2020-06-22T11:10:54.266095+03:00,2020-11-29T12:26:52.42444+03:00,,,,,"3-комн. квартира, 62 м², 3/3 эт.",2020-11-29T09:35:56.351023Z
"ул. Советская, д. 75",94957031,Сибирь Девелопмент,New,3285,2019-02-05T19:52:21.36766Z,"Продаётся просторная квартира свободной планировки в ЖК Prime House на площади Кондратюка! Продажа от застройщика.<br>Преимущества данной квартиры:<br>• Потолки 3 м<br>• Просторная кухня-столовая<br>• Панорамное остекление лоджии<br>• 2 санузла<br>• Красивый вид на ул.Нарымская, Обь, закат солнца<br>Жилой комплекс PRIME HOUSE на площади Кондратюка - это уникальная возможность жить в современном здании в историческом центре Новосибирска, пользуясь всеми преимуществами большого города.<br>Комплекс расположен по адресу ул. Советская, 75, на пересечении улиц Нарымская, Советская и Сибирская.<br>PRIME HOUSE – это жилой комплекс премиум-класса, включающий жилой дом, помещения общественного назначения, наземную и двухуровневую подземную автопарковку. Выгодный адрес в центре города - это шаговая доступность главных культурных, образовательных и развлекательных заведений Новосибирска, торговых и бизнес-центров. Рядом находятся станции метро Красный проспект и площадь Ленина, Нарымский сквер и Центральный парк, площадь Ленина, театры НОВАТ и Красный факел, рестораны, банки и фитнес клубы, ВУЗы, детские сады, престижные гимназии и школы.<br>Особое украшение жилого комплекса - расположенный на прилегающей территории сквер Альгамбра, который был воссоздан на месте одноименного исторического сада. Здесь можно отдохнуть от суеты большого города в тени деревьев, насладиться видом оригинального ландшафта и полюбоваться на арт-объекты, провести время с семьёй и детьми.<br>Квартиры в ЖК PRIME HOUSE предполагают свободную планировку. Яркое преимущество жилых помещений PRIME HOUSE – двухметровые панорамные окна, позволяющие окинуть взглядом весь город.<br>В здании работают круглосуточный консьерж-сервис и охрана, установлены системы видеонаблюдения.<br>Дом сдан в декабре 2019 года. <br>Ипотека, рассрочка с фиксацией цены, скидки за быстрый полный расчет!",68 м²,85569.0,ЖК «Prime House» (Прайм Хаус),85569.0,ЖК «Prime House» (Прайм Хаус),652.0,21/23,68 м²,68.0,21,15,197241991,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-197241991,262.0,9 173 250 ₽,134 901 ₽ за м²,134901,9173250,Apartment,2019-02-05T19:52:21.36766Z,78,Listing,,2,2.0,2020-12-24T06:40:07.843666+03:00,1145145142,2017-12-20T13:51:59+03:00,2020-11-24T08:18:22.030592+03:00,0.462,262.0,#FF0000,Красный проспект,"2-комн. квартира, 68 м², 21/23 эт.",2020-11-24T05:27:22.525243Z
"Новосибирская область, Бердск, улица Максима Горького, 2",182627320,Юлия,Resale,3279,2020-09-28T14:46:22.250709Z,"Отличная тёплая просторная квартира  для большой семьи. Рядом 3 школы и 3 детских сада, рынок и многое другое.  Отличная транспортная развязка.<br>Лоджия и балкон. Кухня- гостиная 17кв.м, и 5 комнат: 29кв.м, 11кв.м, 13кв.м, 11кв.м, 10кв.м. Квартира цельная, не соединение из двух. 2 комнаты- кирпич, остальные- панель.<br>Почти вся мебель остаётся покупателю по договорённости. Это- 2 угловых дивана, диван- раскладушка, встроенный большой шкаф в прихожей, 2х.сп. кровать, детская стенка+ кровать, 2 угловых шкафа, один плательный, горка, стол кухонный, 1стол компьютерный,  1 стол уголок школьника , кухонный гарнитур и др. <br>Договор с АН Жилфонд.",113 м²,,,,,,5/9,113 м²,113.0,5,13,2894690049,Sale,/5-komnatnaya-kvartira-na-prodazhu-berdsk-2894690049,,5 000 000 ₽,44 248 ₽ за м²,44248,5000000,Apartment,2020-09-28T14:46:22.250709Z,78,Listing,,5,5.0,2020-12-27T17:39:38.038451+03:00,2006432595,2020-09-28T17:36:57.835633+03:00,2020-11-27T17:39:38.038451+03:00,,,,,"5-комн. квартира, 113 м², 5/9 эт.",2020-11-27T14:48:44.643745Z
"ул. Серафимовича, д. 21",5144084,Александр,New,3285,2019-02-05T20:15:32.664694Z,"Очень удачное расположение, рядом метро, школа, очень хороший лицей, магазины и т.д. Есть подземная парковка.",68.4 м²,73435.0,ЖК «Сибирячка»,73435.0,ЖК «Сибирячка»,654.0,8/16,68.4 м²,68.4,8,8,257967961,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-257967961,267.0,3 350 000 ₽,48 977 ₽ за м²,48977,3350000,Apartment,2019-02-05T20:15:32.664694Z,78,Listing,,2,2.0,2020-12-30T06:58:02.776349+03:00,1660765144,2018-09-17T08:56:29.984545+03:00,2020-12-02T10:58:31.930866+03:00,0.99,267.0,#FF0000,Площадь Маркса,"2-комн. квартира, 68.4 м², 8/16 эт.",2020-12-02T08:07:58.883339Z
"Новосибирская область, Барабинский район, село Новоспасск",172090928,Aleksei Levadnev,Resale,3266,2019-11-05T02:54:25.459515Z,окна пластиковы квартира теплая  центральное отопления вода центральна стаит на воду сщечик интернет+телевидене +домик 14соток  земли  посажена малина  смародена вишня домик не далеко от квартиры  рядом школа садик магазины почта или обменяю на барабинск или куйбышев,54 м²,,,,,,1/2,54 м²,54.0,1,15,1981376020,Sale,/3-komnatnaya-kvartira-na-prodazhu-barabinsk-1981376020,,900 000 ₽,16 667 ₽ за м²,16667,900000,Apartment,2019-11-05T02:54:25.459515Z,78,Listing,,3,3.0,2020-12-27T01:45:37.631625+03:00,1838881989,2019-11-04T13:31:00.956715+03:00,2020-11-27T01:45:37.631625+03:00,,,,,"3-комн. квартира, 54 м², 1/2 эт.",2020-11-26T22:54:42.387512Z
"Новосибирск, улица Ключ-Камышенское Плато, 20",173701179,Макромир,Resale,3285,2020-11-25T16:18:51.227839Z,"Предлагаю к продаже в Октябрьском районе Новосибирска квартира -распашенка на две стороны. В экологически чистом районе. Квартира находится в прекрасном месте, без преувеличения:<br>- через дорогу горнолыжный комплекс ""Иня"", где можно освоить азы катания на сноуборде;<br>- прекрасный сосновый бор для прогулок, шашлыков, катания на лыжах, гуляния с собакой, медитаций и вдохновения;<br>- все магазины для ежедневного пользования рядом, банкоматы, копи-центр;<br>- остановки маршруток - во все стороны города;<br>- уютный чистый микрорайон, и реально очень удобно добираться и в центр и в Академгородок, и вообще куда-угодно;<br>- с парковкой всегда легко - места есть! Подходит под все виды расчёта.",38 м²,,,,,650.0,2/10,38 м²,38.0,2,10,3032320940,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3032320940,,2 850 000 ₽,75 000 ₽ за м²,75000,2850000,Apartment,2020-11-25T16:18:51.227839Z,78,Listing,,1,1.0,2020-12-25T19:09:50.14043+03:00,2041130498,2020-11-25T19:09:26.005286+03:00,2020-12-07T11:57:30.055223+03:00,,,,,"1-комн. квартира, 38 м², 2/10 эт.",2020-12-07T09:06:32.128666Z
"ул. Зорге, д. 165",162224646,"ЖК ""Зоркий""",New,3285,2020-06-23T02:36:08.69305Z,"К продаже предлагается квартира в ЖК бизнес-класса «Зоркий». Работы идут с опережением сроков, дом готов на 90%.<br>Осталось меньше 20% квартир!<br>Кирпичный дом, белоснежный фасад, окна с витражным остеклением, облагороженная территория, чистые, просторные и светлые подъезды. Современные детские и спортивные площадки. Для маленьких жителей спроектированы безопасные площадки для игр, баскетбольное поле и теннисный корт. Для взрослых специализированные площадки для занятий спортом, тренажеры, дорожки для бега. Закрытый охраняемый двор.<br>Жилой комплекс «Зоркий» - это новый проект бизнес-класса, который станет настоящим украшением левого берега Новосибирска, от надежного застройщика ООО “Ново-НиколаевскЪ<br>Приобрести жилье в доме с европейским уровнем комфорта легко:<br>- ипотека от 5,99% для всех;<br>- семейная ипотека от 4,7%.",52.2 м²,94925.0,ЖК «Зоркий»,94925.0,ЖК «Зоркий»,655.0,5/18,52.2 м²,52.2,5,8,2661906563,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2661906563,267.0,3 150 000 ₽,60 345 ₽ за м²,60345,3150000,Apartment,2020-06-23T02:36:08.69305Z,78,Listing,,2,2.0,2020-12-26T10:22:56.82934+03:00,1924172015,2020-06-22T11:35:53.555484+03:00,2020-11-26T10:22:56.82934+03:00,,,,,"2-комн. квартира, 52.2 м², 5/18 эт.",2020-11-26T07:32:35.348432Z
"ул. Зорге, д. 165",162224646,"ЖК ""Зоркий""",New,3285,2020-06-23T02:25:40.476365Z,"К продаже предлагается квартира в ЖК бизнес-класса «Зоркий». Работы идут с опережением сроков, дом готов на 90%.<br>Осталось меньше 20% квартир!<br>Кирпичный дом, белоснежный фасад, окна с витражным остеклением, облагороженная территория, чистые, просторные и светлые подъезды. Современные детские и спортивные площадки. Для маленьких жителей спроектированы безопасные площадки для игр, баскетбольное поле и теннисный корт. Для взрослых специализированные площадки для занятий спортом, тренажеры, дорожки для бега. Закрытый охраняемый двор.<br>Жилой комплекс «Зоркий» - это новый проект бизнес-класса, который станет настоящим украшением левого берега Новосибирска, от надежного застройщика ООО “Ново-НиколаевскЪ<br>Приобрести жилье в доме с европейским уровнем комфорта легко:<br>- ипотека от 5,99% для всех;<br>- семейная ипотека от 4,7%.",70.5 м²,94925.0,ЖК «Зоркий»,94925.0,ЖК «Зоркий»,655.0,12/18,70.5 м²,70.5,12,8,2661735544,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2661735544,267.0,4 200 000 ₽,59 574 ₽ за м²,59574,4200000,Apartment,2020-06-23T02:25:40.476365Z,78,Listing,,3,3.0,2020-12-26T10:22:56.916004+03:00,1924039907,2020-06-22T11:40:56.53929+03:00,2020-11-26T10:23:09.921918+03:00,,,,,"3-комн. квартира, 70.5 м², 12/18 эт.",2020-11-26T07:32:30.801203Z
