address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, улица Писарева, 82",157238374,Оскар,Resale,3285,2020-11-18T09:29:32.867145Z,"Продается отличная ,большая полноценная двухкомнатная квартира в центральном районе.Дом сделан по классической технологии кирпичной кладки в три кирпича. Возле дома достаточно парковочных мест, что довольно редко встретишь в центральном районе. Удобная транспортная развязка как на автомобиле , так и на общественном транспорте, до метро 10 минут пешком.Развитая инфраструктура дом принадлежит микроучастку 13 (Английской гимназии )В квартире нормальный ремонт выполнен из дорогих материалов.Чистая продажа без отлагательных условий ,помощь в получении ипотечного решения в самых трудных случаях.",68.9 м²,649.0,5/10,68.9 м²,68.9,5,21,3014905499,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3014905499,270.0,5 600 000 ₽,81 277 ₽ за м²,81277,5600000,Apartment,2020-11-18T09:29:32.867145Z,78,Listing,2,2.0,2020-12-18T12:20:02.244345+03:00,2020293020,2020-11-18T12:17:58.608668+03:00,2020-12-05T08:43:25.041226+03:00,0.736,270.0,#008000,Маршала Покрышкина,"2-комн. квартира, 68.9 м², 5/10 эт.",2020-12-05T05:52:49.071326Z
"Новосибирская область, Мошковский район, посёлок Октябрьский, Рассветная улица, 7",174587903,Жилфонд,Resale,3262,2020-11-19T07:24:56.718434Z,"ЧИСТАЯ ПРОДАЖА !!! <br>СВЕТЛАЯ, ПРОСТОРНАЯ, ОЧЕНЬ ТЁПЛАЯ КВАРТИРА !!<br>Квартира общей площадью 64,7 м кв. без учета лоджии , детская комната 15,2 м.кв., спальня 13,3 м.кв., кухня гостиная 28,4 м.кв, большая просторная лоджия, высота потолка 2,7 м.<br>В квартире выполнен качественный ремонт, на полу ламинат, в коридоре и в кухонной зоне плитка,<br>натяжные матовые потолки. Во всей квартире установлены  пластиковые окна, лоджия остеклена (профиль алюминиевый). Все двери входная и межкомнатные хорошего качества, менять ничего не нужно.<br>В подъездах чистота и порядок, широкие лестничные проемы, на первом этаже есть место для хранения велосипедов и детских колясок. <br>НОВЫЙ РАЗВИВАЮЩИЙСЯ ЖК ""СВЕТЛЫЙ"" !!!<br>ЕСТЬ ВСЁ  НЕОБХОДИМОЕ ДЛЯ КОМФОРТНОЙ ЖИЗНИ !!!<br>Построили НОВУЮ ШКОЛУ, есть ДЕТСКИЙ САД , МАГАЗИНЫ, АПТЕКИ, оборудованы ДЕТСКИЕ ПЛОЩАДКИ .<br>ДОКУМЕНТЫ К СДЕЛКЕ ГОТОВЫ !!!!  <br>ЧИСТАЯ ПРОДАЖА !!!  ОБРЕМЕНЕНИЙ НЕТ !!!    НЕСОВЕРШЕННОЛЕТНИХ СОБСТВЕННИКОВ   НЕТ !!!<br>БЫСТРЫЙ ВЫХОД НА СДЕЛКУ !!!",67.3 м²,,4/5,67.3 м²,67.3,4,39,3017196198,Sale,/3-komnatnaya-kvartira-na-prodazhu-sokur-3017196198,,2 599 000 ₽,38 618 ₽ за м²,38618,2599000,Apartment,2020-11-19T07:24:56.718434Z,78,Listing,3,3.0,2020-12-19T10:15:54.474883+03:00,2045356550,2020-11-19T10:15:24.204823+03:00,2020-11-19T10:15:54.474883+03:00,,,,,"3-комн. квартира, 67.3 м², 4/5 эт.",2020-11-19T07:24:56.825676Z
"Новосибирск, Ленинский район, жилой комплекс Ясный Берег",173701179,Макромир,New,3285,2020-08-11T08:24:25.129754Z,"ЖК VESNA — это современный жилой комплекс<br>с живописным видом из окон и развитой инфраструктурой.<br>Лёгкий и современный образ комплекса поддерживают архитектурная концепция и индивидуальный дизайн-проект.<br>ЖК VESNA создан для тех, кто начинает яркую и самостоятельную жизнь в собственной квартире недалеко от центра.<br>Всё нужное под окнами<br>Закрытый двор -обеспечивает спокойствие и комфорт<br>Безопасная игровая зона-Оснащена ограждением, оживляет двор и скрашивает досуг<br>Удобная и просторная парковка-Парковка для вас и ваших гостей располагается на прилегающей к дому территории<br>Архитектура и конструктив:<br>Толщина стеновых панелей составляет 160см<br>Стены подготовлены под отделку с нанесением шпатлевки <br>Наружная отделка стен с облицовкой фиброцементной плитой<br>Входные двери прочные стальные<br>Полы подготовлены под отделку, подложка — 5 мм.<br>Домой вам всегда будет приятно возвращаться потому-что :<br>1. В каждой квартире очень тепло<br>В качестве стен и перекрытий используются полнотелые плиты. Толщина плит — 160 мм вместе с технологией наружного утепления и облицовки фасадов решает проблему промерзания панельных домов и внешнего шума. Толщина теплоизоляции по периметру дома — 150 мм.<br>2. Тихо и приватно<br>Забудьте о сквозняках и промерзании межпанельных швов. В домах жилого комплекса тепло будет круглый год.<br>Утеплитель монтируется в строгом соответствии со специально разработанной картой утепления.<br>3. Яркий дизайн домов выполненый со смыслом<br>Для обшивки вентилируемого фасада используется окрашенная специальным способом фиброцементная плита.<br>Такая технология обшивки позволяет сохранить тепло квартир в зимний сезон и комфортную температуру в жаркий летний.<br>Планировки<br>От комфортных однокомнатных до просторных двухкомнатных позволяет приобрести квартиру как молодой семье, так и молодому человеку или девушке. Выбирать между удобством и доступной стоимостью не придётся.<br>В квартирах всё продумано:<br>Зонирование пространств, материалы отделки, будущее расположение техники, мебели и освещения.<br>Транспортная доступность<br>Расположение жилого комплекса VESNA позволяет всегда оставаться в центре городских событий. В шаговой доступности находятся остановки общественного транспорта.<br>Удобный выезд на магистраль помогает добраться до любой точки города за комфортное время. Дорога до центра на автомобиле займёт 10 минут<br>Инфраструктура<br>ЖК VESNA — комплекс с развитой инфраструктурой. Рядом расположены два гипермаркета, множество супермаркетов, детских садов и школ. В пешей доступности с комплексом находится самый большой крытый аквапарк в России — комфортное место для активного отдыха с семьёй и друзьями.<br>-Больницы и поликлиники<br>-Школы<br>-Детские сады<br>-Высшие учебные заведения<br>-Продовольственные магазины (Лента, Гигант итд)<br>Собственная квартира в 10 минутах от центра города — легко, убедитесь сами!<br>Звоните и запишитесь на бесплатную экскурсию<br>Способы покупки:<br>-Ипотека от 5%<br>-Материнский капитал<br>-Наличный расчет<br>Приобретая данную квартиру вы экономите на комиссионных ( т.е. услуга для вас полностью бесплатна)",26 м²,654.0,5/17,26 м²,26.0,5,18,2779843942,Sale,/kvartira-na-prodazhu-novosibirsk-2779843942,263.0,2 199 000 ₽,84 577 ₽ за м²,84577,2199000,Apartment,2020-08-11T08:24:25.129754Z,78,Listing,Студия,,2020-12-22T10:42:52.323515+03:00,1977442452,2020-08-10T18:17:29.380154+03:00,2020-11-22T10:57:17.674608+03:00,2.302,263.0,#FF0000,Площадь Ленина,"Квартира-студия, 26 м², 5/17 эт.",2020-11-22T08:06:43.376268Z
"Новосибирская область, Бердск, Черемушная улица, 53",174784669,Honor,Resale,3279,2020-04-23T01:04:30.72495Z,"Продам лично! новую -студию в микрорайоне Раздольном, квартира  в отличном состоянии с хорошим ремонтом, никаких вложений не требует - заезжай и живи!",25 м²,,3/3,25 м²,25.0,3,6,2506332428,Sale,/kvartira-na-prodazhu-berdsk-2506332428,,1 240 000 ₽,49 600 ₽ за м²,49600,1240000,Apartment,2020-04-23T01:04:30.72495Z,78,Listing,Студия,,2020-12-26T20:53:07.545863+03:00,1915472420,2020-04-22T18:32:26.082525+03:00,2020-12-07T09:07:07.243397+03:00,,,,,"Квартира-студия, 25 м², 3/3 эт.",2020-12-07T06:16:28.787396Z
"Новосибирск, Холодильная улица, 16",78707443,АН Нск,Resale,3285,2020-06-16T00:43:44.616464Z,"Продам двухкомнатную квартиру светлую, солнечную в кирпичном доме в Заельцовском районе. В квартире выполнен ремонт, качественными импортными материалами. Перепланировка узаконена, все продумано до мелочей. Просторный с/у в кафеле, натяжные потолки, пластиковые Окна, моющиеся обои. Квартира продаётся почти со всей Мебелью и техникой, заезжай и живи. Балкона нет, за то квадратура квартиры 52м2. Отличная инфраструктура, в шаговой доступности Школа, детсад, остановка транспорта в любую сторону города, Зоопарк, Заельцовский парк, супермаркет, поликлиника и т.д. Два взрослых Собственника, в качестве расчёта подходит  Ипотека и маткапитал. Возможен обмен на однокомнатную квартиру, нижние этажи , в районе Метро Октябрьское либо Речной вокзал, Европейский берег, Родники. Эксклюзивный вариант агентства недвижимости. Грамотное юридическое сопровождение. Звоните, покупайте.",52 м²,653.0,3/5,52 м²,52.0,3,25,2641513053,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2641513053,261.0,3 850 000 ₽,74 038 ₽ за м²,74038,3850000,Apartment,2020-06-16T00:43:44.616464Z,78,Listing,2,2.0,2020-12-17T15:55:09.578516+03:00,1937576658,2020-06-13T15:47:44.073715+03:00,2020-12-01T20:45:12.77527+03:00,1.75,268.0,#008000,Площадь Гарина-Михайловского,"2-комн. квартира, 52 м², 3/5 эт.",2020-12-01T17:54:38.679668Z
"Новосибирск, Потанинская улица, 4",12094592,АН Хотэй,Resale,3285,2020-10-19T17:03:12.991887Z,"УНИКАЛЬНОЕ ЭКСКЛЮЗИВНОЕ ПРЕДЛОЖЕНИЕ!!!<br>КВАРТИРА С ДИЗАЙНЕРСКИМ РЕМОНТОМ В САМОМ ЦЕНТРЕ ГОРОДА<br>+ Кирпичный дом качественной постройки<br>+ Полногабаритная планировка<br>+ Высота потолков 3 метра<br>В квартире выполнен УНИКАЛЬНЫЙ ДИЗАЙНЕРСКИЙ РЕМОНТ.<br>В отделке использовались только качественные стройматериалы, чёрная Итальянская сантехника, весь текстиль сшит на заказ<br>+ КВАРТИРА ПРОДАЁТСЯ СО ВСЕЙ МЕБЕЛЬЮ И ТЕХНИКОЙ !!!<br>+ Имеется два встроенных шкафа<br>СВОЯ КВАРТИРА В ЦЕНТРЕ ГОРОДА ПОЛНОСТЬЮ ПОДГОТОВЛЕННАЯ ПОД ПРОЖИВАНИЕ.<br>Звоните и записывайтесь на просмотр.",53 м²,649.0,4/5,53 м²,53.0,4,23,2941895349,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2941895349,263.0,7 099 999 ₽,133 962 ₽ за м²,133962,7099999,Apartment,2020-10-19T17:03:12.991887Z,78,Listing,2,2.0,2020-12-19T10:43:52.621362+03:00,1981940944,2020-10-19T19:53:42.384249+03:00,2020-11-19T10:43:52.621362+03:00,0.429,263.0,#FF0000,Площадь Ленина,"2-комн. квартира, 53 м², 4/5 эт.",2020-11-19T07:52:56.468764Z
"Новосибирск, улица Олеко Дундича, 25",173701179,Макромир,Resale,3285,2020-11-19T07:56:19.189708Z,"Чистая квартира в развитом микрорайоне по разумной цене.<br>Преимущества объекта:<br>1. Дом из полноценной кирпичной кладки.<br>2. Удобный этаж.<br>3. Окна во двор.<br>4. Санузел выложен  полностью кафелем.<br>5. На кухне кафель по периметру.<br>6. Чистый подъезд.<br>Преимущество расположения:<br>1. Остановка транспорта в шаговой доступности.<br>2. Удобная транспортная развязка<br>( можно уехать в любой конец города)<br>3. Уютный двор с большой детской площадкой.<br>4. В шаговой доступности все магазины, школа, детские сады, Павловский сквер, поликлиника,аптеки и многое другое, необходимое для полноценной комфортной жизни.<br>Помощь в получении ипотечного решения.<br>Полное юридическое сопровождение сделки.<br>НЕДВИЖИМОСТЬ ДЛЯ ЖИЗНИ",34.9 м²,648.0,2/9,34.9 м²,34.9,2,13,3017290026,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3017290026,260.0,2 500 000 ₽,71 633 ₽ за м²,71633,2500000,Apartment,2020-11-19T07:56:19.189708Z,78,Listing,1,1.0,2020-12-19T10:47:17.899154+03:00,2041440444,2020-11-19T10:46:53.975552+03:00,2020-11-19T10:47:17.899154+03:00,3.864,271.0,#008000,Берёзовая роща,"1-комн. квартира, 34.9 м², 2/9 эт.",2020-11-19T07:56:21.10503Z
"Новосибирская область, Краснозерский район, рабочий посёлок Краснозёрское, Промышленная улица, 28",171133994,Маргарита Гурина,Resale,3269,2019-10-18T14:52:24.920206Z,"продам квартиру, все вопросы по телефону",29 м²,,2/2,29 м²,29.0,2,10,1923471858,Sale,/1-komnatnaya-kvartira-na-prodazhu-krasnozerskoe-1923471858,,750 000 ₽,25 862 ₽ за м²,25862,750000,Apartment,2019-10-18T14:52:24.920206Z,78,Listing,1,1.0,2020-12-23T13:50:25.145458+03:00,1800459209,2019-10-18T12:40:04.959022+03:00,2020-11-23T13:50:25.145458+03:00,,,,,"1-комн. квартира, 29 м², 2/2 эт.",2020-11-23T10:59:27.992248Z
"Новосибирск, улица Залесского, 8/1",61734665,Агентство недвижимости «НИАН»,Resale,3285,2020-11-18T17:28:13.017071Z,"К продаже предлагается 2-х комнатная студия. Светлая, просторная квартира с шикарным видом из окна.  Хорошая транспортная развязка, поблизости вся инфраструктура (детские сады, школы, ВУЗ, поликлиника, магазины, каток, бассейн) Один взрослый собственник. Чистая продажа.",58 м²,653.0,7/16,58 м²,58.0,7,13,3016150884,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3016150884,260.0,5 085 000 ₽,87 672 ₽ за м²,87672,5085000,Apartment,2020-11-18T17:28:13.017071Z,78,Listing,2,2.0,2020-12-18T20:19:08.501047+03:00,2023033542,2020-11-18T20:18:43.36476+03:00,2020-11-18T20:19:08.501047+03:00,1.354,260.0,#FF0000,Заельцовская,"2-комн. квартира, 58 м², 7/16 эт.",2020-11-18T17:28:21.902356Z
"Новосибирская область, Черепаново, Красный проспект",23367994,Компания «ЭТАЖИ»,Resale,3241,2020-03-26T01:09:13.46515Z,"Приобретая этот объект недвижимости вы получаете большую, уютную и светлую 4-х комнатную квартиру. Площадь квартиры 105 м2, жилая 72 м2.<br>Уникальный стоквартирный дом - памятник архитектуры федерального значения. Качественный ремонт, деревянные окна со стеклопакетами, изготовленные по специальному заказу. Установлена сигнализация; телевидение+ интернет; кондиционер. Возможна продажа квартиры с мебелью. <br>Закрытый въезд во двор; свободная парковка возле дома.<br>Во дворе дома благоустроенная детская площадка, рядом известная школа № 12 с углублённым изучением предметов, филармония, недалеко парк - для занятий спортом, до метро 7 минут, административно-финансовый центр (Правительство нсо, Зак.собрание нсо), набережная Оби, собор Александра Невского.<br>Значительные размеры самого дома и наличие большого, регулярно спланированного, пространства сквера перед главным фасадом создают впечатление масштабности и «дворцового» характера сооружения.<br>Стоквартирный дом на площади Свердлова — единственный в Новосибирской области объект историко-архитектурного наследия федерального значения, в котором живут люди!<br>Подробная консультация по телефону. Чистая продажа. Звоните!. Номер в базе: 1890152. Район: Центральный.",104.6 м²,,2/8,104.6 м²,104.6,2,16,2435605077,Sale,/4-komnatnaya-kvartira-na-prodazhu-cherepanovo-2435605077,,11 000 000 ₽,105 163 ₽ за м²,105163,11000000,Apartment,2020-03-26T01:09:13.46515Z,78,Listing,4,4.0,2020-12-18T13:11:17.989467+03:00,1912691456,2020-03-25T09:13:46.963256+03:00,2020-11-19T10:05:56.56353+03:00,,,,,"4-комн. квартира, 104.6 м², 2/8 эт.",2020-11-19T07:19:05.539787Z
