address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, Обская улица, 50",45473436,«Город 54»  Агентство Недвижимости,Resale,3285,2020-08-14T17:13:38.273063Z,"Предлагается к продаже просторная, уютная, светлая двухкомнатная квартира, возможно легко сделать перепланировку в 3к квартиру студию с  полноценными двумя жилыми комнатами и кухней гостиной в 35 кВ метров в Октябрьском районе. В 10 минутах ходьбы через набережную реки  Обь станция метро Речной вокзал расстояние до метро 800 метров. В шаговой доступности набережная, где можно гулять или приятно заниматься  спортом.  Комнаты правильной геометрии, просторные. В зале эркерное окно вид на Бугринский мост, реку, в квартире 2 санузла раковина, туалет, душ  с поддоном, ремонт свежий. Все окна пластиковые, 6 камерные пакеты.  В доме 2 лифта,  подъезд в прекрасном состоянии. Во дворе много парковочных мест, проблем со стоянкой  никогда нет. Детская площадка, приличное благоустройство. Рядом с домом несколько  продуктовых магазинов, аптеки, банки и банкоматы. Отличная транспортная развязка.",68 м²,,,,,650.0,16/18,68 м²,68.0,16,1,2789319614,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2789319614,265.0,4 600 000 ₽,67 647 ₽ за м²,67647,4600000,Apartment,2020-08-14T17:13:38.273063Z,78,Listing,2,2.0,2020-12-13T09:04:31.355978+03:00,1978205994,2020-08-14T20:04:15.925062+03:00,2020-11-30T11:21:09.078593+03:00,1.028,265.0,#FF0000,Речной вокзал,"2-комн. квартира, 68 м², 16/18 эт.",2020-11-30T08:30:42.835196Z
"ул. Тульская, стр. 80",107238416,"Отдел продаж Застройщика ""Инвест-плюс""",New,3285,2020-10-09T09:24:51.887968Z,"ПОСЛЕДНЯЯ ОДНОКОМНАТНАЯ КВАРТИРА ПО ЦЕНЕ СТУДИИ.<br>Локация по линии МЕТРО Студенческая и К.Маркса (15 минут ПЕШКОМ)<br>Торговые центры, кинотеатры, магазины - всё рядом.<br>ЗАПИСЫВАЙТЕСЬ НА ЭКСКУРСИЮ!!!<br>Кладовая в подарок!<br>Подробности в отделе продаж застройщика или по телефону.",30 м²,39341.0,ЖК «Тульский»,39341.0,ЖК «Тульский»,655.0,14/16,30 м²,30.0,14,16,2918105284,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2918105284,266.0,2 500 000 ₽,83 333 ₽ за м²,83333,2500000,Apartment,2020-10-09T09:24:51.887968Z,78,Listing,1,1.0,2020-12-09T09:27:40.28105+03:00,1998209566,2020-10-09T12:15:25.183255+03:00,2020-11-29T09:14:12.337305+03:00,1.361,266.0,#FF0000,Студенческая,"1-комн. квартира, 30 м², 14/16 эт.",2020-11-29T06:23:54.183389Z
"ул. Декабристов, д. 115",107238416,"Отдел продаж Застройщика ""Инвест-плюс""",New,3285,2020-09-09T04:55:53.591087Z,"Ипотека 0,1%<br>Продажа от собственника. Подходит под все формы расчета!<br>Покажу в удобное для вас время. Дом готов, идет внутренняя отделка.<br>Дом строится по новому законодательству по эскроу счетам (без привлечения денег дольщиков)<br>Сдача первого дома 4 кв. 2020 г.",66 м²,91288.0,ЖК «Октябрьский квартал»,91288.0,ЖК «Октябрьский квартал»,650.0,2/22,66 м²,66.0,2,10,2849040657,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2849040657,265.0,4 800 000 ₽,72 727 ₽ за м²,72727,4800000,Apartment,2020-09-09T04:55:53.591087Z,78,Listing,2,2.0,2020-12-11T08:23:07+03:00,1998623765,2020-09-09T07:46:30.930535+03:00,2020-12-04T08:24:00.555528+03:00,1.463,265.0,#FF0000,Речной вокзал,"2-комн. квартира, 66 м², 2/22 эт.",2020-12-04T05:31:54.531527Z
"ул. Кирова, д. 11",23367994,Компания «ЭТАЖИ»,New,3285,2020-11-11T12:19:43.230596Z,"ЖК “Облака” создан для тех, кто любит свободу. Удачные планировочные решения, высокие потолки создают комфорт и простор в этом доме.<br>ЖК “Облака” находится в нескольких минутах ходьбы от станции метро Октябрьская. В нашем городе не так много строящихся жилых комплексов в такой близости от метро.<br>Развитая транспортная сеть поможет оказаться в любой части города.<br>Также рядом находятся детские сады, школы, университет, поликлиники, аптеки и множество магазинов.<br>Поблизости от жилого дома располагается супермаркет Бахетле – магазин с собственной кулинарией и наличием редких продуктов, которые сложно найти где-либо ещё в Новосибирске. Квартира продается по переуступке права требования.<br> Доп. описание: санузел раздельный, плита электрическая, пластиковые окна, в доме есть: детская площадка, закрытый двор, ворота, подземный паркинг, лифт пассажирский, лифт грузовой, черновая отделка, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь, , Номер в базе: 4927705. Район: Октябрьский",27 м²,1006213410.0,ЖК «Облака»,1006213410.0,ЖК «Облака»,650.0,4/24,27 м²,27.0,4,4,2998079456,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2998079456,264.0,3 690 000 ₽,136 667 ₽ за м²,136667,3690000,Apartment,2020-11-11T12:19:43.230596Z,78,Listing,1,1.0,2020-12-11T15:10:41.172899+03:00,2040465726,2020-11-11T15:10:12.511593+03:00,2020-12-07T13:16:52.697412+03:00,0.211,264.0,#FF0000,Октябрьская,"1-комн. квартира, 27 м², 4/24 эт.",2020-12-07T10:26:53.447682Z
"Новосибирск, Приморская улица, 33",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-11-11T12:19:55.582026Z,"Продаётся 3-х комнатная квартира, в замечательном тихом районе ОбьГэс. Комнаты изолированные,есть балкон и большая широкая лоджия, сан узел раздельный. Хорошо развитая инфраструктура,в шаговой доступности остановка общественного транспорта, магазины,детские сады,школа. Рассмотрим все виды расчетов. Поможем вам получить положительное ипотечное решение в любом банке России. Так же покупая эту квартиру вы получаете полное сопровождение сделки! Ждем вас на просмотр! Не упустите свой шанс купить один из лучших вариантов.. Номер в базе: 4932509. Район: Советский.",63 м²,,,,,656.0,5/9,63 м²,63.0,5,9,2998080267,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2998080267,,3 300 000 ₽,52 381 ₽ за м²,52381,3300000,Apartment,2020-11-11T12:19:55.582026Z,78,Listing,3,3.0,2020-12-11T15:10:46.744642+03:00,2040169752,2020-11-11T15:10:15.74246+03:00,2020-11-11T15:10:46.744642+03:00,,,,,"3-комн. квартира, 63 м², 5/9 эт.",2020-11-11T12:19:58.769148Z
"Новосибирская область, Чановский район, курортный посёлок Озеро-Карачи, Школьная улица, 59",164969839,Строитель,Resale,3247,2020-11-10T05:02:04.954107Z,"Благоустроенная двухкомнатная квартира, год ввода дома в эксплуатацию 2020, квартира теплая, с лоджией, установлены счетчики учета воды, бойлер. В шаговой доступности, детский сад, школа, больница, автобусная остановка, магазины, санаторий ""Озеро-Карачи"", завод ""Карачинский источник"". Дом двухэтажный, количество квартир -10.",49.7 м²,,,,,,2/2,49.7 м²,49.7,2,14,2994395368,Sale,/2-komnatnaya-kvartira-na-prodazhu-chany-2994395368,,1 700 000 ₽,34 205 ₽ за м²,34205,1700000,Apartment,2020-11-10T05:02:04.954107Z,78,Listing,2,2.0,2020-12-10T07:53:01.415873+03:00,2028938621,2020-11-10T07:52:38.549659+03:00,2020-11-10T08:01:02.711688+03:00,,,,,"2-комн. квартира, 49.7 м², 2/2 эт.",2020-11-10T05:10:06.835022Z
"ул. Дуси Ковальчук, д. 242/1, секция 1-2",21254425,Наталья,New,3285,2019-07-02T00:36:44.851576Z,"3-ком.квартира в 1 очереди строительства, 4 подъезд (середина дома). <br>Очень удачная планировка, хорошие светлые комнаты правильной формы.<br>•2 санузла<br>•3 окна выходят на восток (в сторону пл. Калинина) и 1 на запад (внутрь двора)<br>•2 лоджии (будут остеклены)<br>Хорошая чистовая подготовка стен и полов.<br>Квартира без обременений, напрямую от собственника (участника долевого строительства).",94.6 м²,39510.0,ЖК «Покровский»,39510.0,ЖК «Покровский»,653.0,9/24,94.6 м²,94.6,9,6,1570103297,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-1570103297,261.0,5 500 000 ₽,58 140 ₽ за м²,58140,5500000,Apartment,2019-07-02T00:36:44.851576Z,78,Listing,3,3.0,2020-12-12T16:47:21.048243+03:00,1783392442,2019-07-01T10:43:46.579917+03:00,2020-11-12T16:47:21.048243+03:00,0.945,261.0,#FF0000,Гагаринская,"3-комн. квартира, 94.6 м², 9/24 эт.",2020-11-12T13:56:23.792432Z
"Новосибирск, Советская улица, 49",41821128,Наталья,Resale,3285,2020-11-09T14:58:05.448102Z,"Предлагаем просторную, светлую квартиру в самом центре Новосибирска, в доме, построенном для партийной элиты. Две  изолированные комнаты, большая кухня, раздельный санузел, широкий коридор, потолки 3 м. Окна выходят на Советскую улицу, двор огорожен со всех сторон, отличная детская площадка, въезд на машине с помощью пульта. Знаковые места Новосибирска - Оперный театр, ЦУМ, вокзал находятся в шаговой доступности, театр Афанасьева прямо в доме. В качестве приятного бонуса покупателям предлагается овощехранилище, расположенное около лицея 22 «Надежда Сибири"". Дом по прописке также относится к этому лицею.<br>Срочная продажа! Цена снижена!<br>Покажем в удобное для вас время!",53.7 м²,,,,,652.0,6/8,53.7 м²,53.7,6,4,2993433738,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2993433738,263.0,5 050 000 ₽,94 041 ₽ за м²,94041,5050000,Apartment,2020-11-09T14:58:05.448102Z,78,Listing,2,2.0,2020-12-09T17:49:26.106063+03:00,2022137602,2020-11-09T17:46:24.233995+03:00,2020-11-24T21:30:48.299842+03:00,0.394,263.0,#FF0000,Площадь Ленина,"2-комн. квартира, 53.7 м², 6/8 эт.",2020-11-24T18:50:17.882289Z
"Новосибирская область, Куйбышев, улица Краскома, 14",189688788,Лиза Силезне,Resale,3253,2020-11-15T05:41:30.749419Z,"продам полублагоустроенную квартиру в деревянном двухэтажном доме.В квартире есть холодная вода и отопление,туалет на улице и вода выноситься.Под материнский капитал не подходит.Дом является культурным достоянием",20.1 м²,,,,,,2/2,20.1 м²,20.1,2,4,3006953663,Sale,/1-komnatnaya-kvartira-na-prodazhu-kuybyshev-3006953663,,490 000 ₽,24 378 ₽ за м²,24378,490000,Apartment,2020-11-15T05:41:30.749419Z,78,Listing,1,1.0,2020-12-15T08:32:29.746186+03:00,2034006264,2020-11-15T08:31:37.515885+03:00,2020-11-15T08:32:29.746186+03:00,,,,,"1-комн. квартира, 20.1 м², 2/2 эт.",2020-11-15T05:41:52.222951Z
,127451934,ООО Строительная фирма Проспект,New,3246,2020-11-11T13:20:30.099346Z,"Жилой дом расположен по адресу: Новосибирская область, р.п. Кольцово, ул. Преображенская, д. 4.<br>Жилой дом двухсекционный 16-17- этажный.<br>Высота потолка – 2,7м.<br>Начало строительства – II квартал 2019 года<br>Ввод в эксплуатацию – III квартал 2022 года<br>Индивидуальный дизайн-проект первого этажа<br> Предусмотрена служба консьержа<br> Два грузопассажирских лифта OTIS в каждой секции<br> Предусмотрены колясочные<br> Металлические входные двери повышенной надежности<br> Счетчики учета воды и тепла вынесены в подъезд<br> Горизонтальная система отопления<br> Система противопожарной безопасности<br> Современная функциональная детская площадка<br> Универсальная детская площадка<br>Проектом предусмотрено благоустройство прилегающей территории. Проезды и площадки для стоянки автомашин выполняются из монолитного бетона. Тротуары и площадки для отдыха имеет твёрдое покрытие из тротуарной плитки. Детские площадки имеют безопасное резиновое покрытие. Территория оборудуется малыми архитектурными формами. Озеленение выполняется с устройством газонов и высадки деревьев и кустарников.<br>В микрорайоне Никольский предусмотрены два современных детских сада и общеобразовательная школа с бассейном.<br>Застройщик - Строительная фирма Проспект.",64.4 м²,89404.0,Мкр. «Никольский»,89404.0,Мкр. «Никольский»,,6/17,64.4 м²,64.4,6,6,2998241614,Sale,/2-komnatnaya-kvartira-na-prodazhu-koltsovo-2998241614,,4 637 500 ₽,72 011 ₽ за м²,72011,4637500,Apartment,2020-11-11T13:20:30.099346Z,78,Listing,2,2.0,2020-12-11T16:11:28.657998+03:00,2044457491,2020-11-11T16:11:07.540752+03:00,2020-11-28T08:26:36.069487+03:00,,,,,"2-комн. квартира, 64.4 м², 6/17 эт.",2020-11-28T05:36:01.063438Z
